Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Citrouille, pulpe, crue	0.087264039
Clafoutis aux fruits, rayon frais	0.55402193
Clémentine, pulpe, crue	0.41659977
Clou de girofle	1.4222154
Cocktail à base de rhum	0.1228513
Cocktail à base de whisky	0.095040743
Cocktail sans alcool (à base de jus de fruits et de sirop)	0.12953156
Cocktail type punch, 16% alcool	0.14573945
Coeur de palmier, appertisé, égoutté	0.26011065
Coeur, agneau, cru	2.4575922
Coeur, agneau, cuit	3.400235
Coeur, boeuf, cru	2.134587
Coeur, boeuf, cuit	2.9574892
Coeur, dinde, cru	0.22153344
Coeur, dinde, cuit	0.33525176
Coeur, porc, cru	0.27572801
Coeur, poulet, cru	0.22153344
Coeur, poulet, cuit	0.33525176
Coeur, veau, cru	1.7114355
Coing, cru	0.079182717
Cola, non sucré, avec édulcorants	0.095238345
Cola, non sucré, avec édulcorants, sans caféine	0.095238345
Cola, sucré	0.095238345
Cola, sucré, avec édulcorants	0.095238345
Cola, sucré, sans caféine	0.095238345
Compote de pomme	0.12257334
Compote, tout type de fruits	0.12435441
Compote, tout type de fruits, allégée en sucres	0.11371857
Compote, tout type de fruits, allégée en sucres, rayon frais	0.11816426
Comté	0.56890518
Concombre, pulpe et peau, cru	0.057886608
Concombre, pulpe, cru	0.057886608
Cône ou cornet classique, pour glace	0.35191155
Confiserie au chocolat dragéifiée	0.69508029
Confit de canard	1.2603451
Confit de canard, viande (cuisse), sans peau, réchauffé	1.2603451
Confit de foie de porc	0.278477
Confit de foie de volaille	0.22371196
Confiture d'abricot (extra ou classique)	0.19796986
Confiture de cerise (extra ou classique)	0.63686027
Confiture de fraise (extra ou classique)	0.2734337
Confiture de framboise (extra ou classique)	0.34300783
Confiture de lait	0.21219087
Confiture, tout type de fruits, allégée en sucres (extra ou classique)	0.2734337
Congre, cru	1.8946113
Cookie aux pépites de chocolat	0.38458307
Coppa	2.4764319
Coq au vin	0.97441413
Coquille Saint-Jacques, noix et corail, crue	1.3330472
Coquille Saint-Jacques, noix et corail, cuite	1.6202552
Coquille Saint-Jacques, noix, crue	1.3330472
Corb, cru	0.81624389
Cordon bleu de volaille	0.80988572
Coriandre, fraiche	0.10961682
Coriandre, graine	0.13067124
Corne de gazelle (pâtisserie orientale aux amandes et sirop)	0.45048257
Coulirou, cru	0.2944998
Coulis de fraise	0.37368327
Coulis de framboise	0.44813608
Coulommiers	0.52095566
Coupe glacée parfum pêche Melba ou poire Belle-Hélène	0.2476233
Coupe glacée type café ou chocolat liégeois	0.2476233
Courge doubeurre (butternut), pulpe, crue	0.087264039
Courge hokkaïdo, pulpe, crue	0.085008789
Courge melonnette, pulpe, crue	0.087264039
Courge musquée, pulpe, crue	0.085008789
Courge spaghetti, pulpe, crue	0.087264039
Courge spaghetti, pulpe, cuite	0.13904081
Courge, crue	0.087264039
Courgette, pulpe et peau, crue	0.072919708
Courgette, pulpe et peau, cuite	0.11880983
Courgette, pulpe et peau, surgelée, crue	0.12207178
Courgette, purée	0.11250414
Couronne de Noël (Brioche) aux fruits confits, préemballée	0.38604897
Court-bouillon pour poissons, déshydraté	2.0790149
Couscous (semoule de blé dur roulée précuite à la vapeur), crue	0.23102721
Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée	0.10334471
Couscous à la viande	0.47342813
Couscous à la viande ou au poulet, allégé	0.39972149
Couscous au mouton	1.6268021
Couscous au poisson	0.69559254
Couscous au poulet	0.36573224
Couscous de légumes	0.12703294
Couscous royal (avec plusieurs viandes)	0.47342813
Crabe ou Tourteau, bouilli/cuit à l'eau	5.7329868
Crème anglaise, préemballée	0.2187842
Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais	0.32808785
Crème brûlée, rayon frais	0.25412975
Crème caramel, rayon frais	0.23964458
Crème chantilly, sous pression, UHT	0.18154402
Crème de cassis	0.21271466
Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais	0.25827337
Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT	0.24524985
Crème de lait, 30% MG, épaisse, rayon frais	0.36366296
Crème de lait, 30% MG, semi-épaisse, UHT	0.35049434
Crème de marrons	0.39197225
Crème de marrons vanillée, appertisée	0.35488925
Crème dessert à la vanille, appertisée	0.16817747
Crème dessert à la vanille, rayon frais	0.17837584
Crème dessert au café, rayon frais	0.17837584
Crème dessert au caramel, rayon frais	0.17837584
Crème dessert au chocolat, appertisée	0.24548501
Crème dessert au chocolat, rayon frais	0.25568339
Crème dessert, allégée en MG, rayon frais	0.17837584
Crème pâtissière	0.16420437
Crêpe dentelle	0.68526964
Crêpe dentelle (pour apéritif) au fromage, préemballée	0.22331806
Crêpe dentelle au chocolat, préemballée	0.52417041
Crêpe maison, fourrée à la confiture	0.21722712
Crêpe maison, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes	0.21722712
Crêpe ou Galette aux noix de St Jacques	0.68903518
Crêpe ou Galette complète (œuf, jambon, fromage)	0.5223281
Crêpe ou Galette fourrée au poisson et / ou fruits de mer	0.38441005
Crêpe ou Galette fourrée béchamel champignon	0.46749478
Crêpe ou Galette fourrée béchamel champignon, cuite	0.53523488
Crêpe ou Galette fourrée béchamel fromage	0.28304482
Crêpe ou Galette fourrée béchamel jambon	0.53523488
Crêpe ou Galette fourrée béchamel jambon fromage	0.53523488
Crêpe ou Galette fourrée béchamel jambon fromage champignon	0.58876972
Crêpe préemballée, fourrée au sucre	0.21722712
Crêpe préemballée, fourrée chocolat	0.37508393
Crêpe préemballée, fourrée fraise	0.24036544
Crêpe, nature, préemballée, rayon frais	0.22724067
Crêpe, nature, préemballée, rayon température ambiante	0.22724067
Cresson alénois, cru	0.12411724
Cresson de fontaine, cru	0.08231267
Crevette rose, crue	1.144127
Crevette, crue	0.79126515
Crevette, cuite	0.79126515
Crevette, surgelée, crue	1.1853049
Croissant au beurre, artisanal	0.26994747
Croissant au jambon	0.53992326
Croissant au jambon fromage	0.53992326
Croissant aux amandes, artisanal	0.34644326
Croissant ordinaire, artisanal	0.21607568
Croissant, sans précision	0.21607568
Croque-madame	0.51956415
Croque-monsieur	0.52002052
Croque-monsieur, rayon frais	0.52002052
Crosne, surgelé, cru	0.095741887
Crottin de Chavignol (fromage de chèvre)	1.0165276
Crottin de chèvre, au lait cru	1.1756396
Crottin de chèvre, sans précision	1.1756396
Croûton à l'ail aux fines herbes ou aux oignons, préemballé	0.44301447
Croûtons	0.44301447
Croûtons nature, préemballés	0.44301447
Crumble aux pommes	0.22339628
Cucurbitacées, graine	0.87412361
Cumin, graine	1.423572
Curcuma, poudre	1.423572
Curry, poudre	1.423572
Datte, pulpe et peau, sèche	0.34632424
Denté, cru	1.8946113
Dés, allumettes, râpé ou haché de jambon	0.9912024
Dés, allumettes, râpé ou haché de jambon de volaille	0.87893453
Dessert au soja aromatisé, rayon frais	0.12220646
Dessert au soja, aux fruits, rayon frais	0.12220646
Dessert au soja, nature, rayon frais	0.10322903
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)	0.12458468
Dessert glacé feuilleté, à partager	0.22353537
Dessert glacé type mystère ou vacherin	0.22353537
Dessert glacé, type sundae	0.22353537
Dessert lacté infantile au riz ou à la semoule	0.17393971
Dessert lacté infantile nature sucré ou aux fruits	0.17393971
Dessert lacté infantile type crème dessert	0.17393971
Diabolo (limonade et sirop)	0.10516976
Dinde, aile, crue	0.89010237
Dinde, cuisse, viande et peau, crue	0.89010237
Dinde, cuisse, viande sans peau, crue	0.88880028
Dinde, escalope viennoise ou milanaise ou escalope panée	0.86246723
Dinde, escalope, crue	0.87893453
Dinde, escalope, rôtie/cuite au four	1.1951891
Dinde, escalope, sautée/poêlée	1.1771281
Dinde, viande et peau, crue	0.7094517
Dinde, viande, crue	0.7094517
Dinde, viande, rôtie/cuite au four	0.97081587
Diot, cru	0.71621383
Dorade grise, ou daurade grise, ou griset, crue	1.2435499
Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four	1.5471585
Dorade rose, ou daurade rose, crue	1.2435499
Dorade royale ou daurade ou vraie daurade, crue, élevage	1.9024819
Dorade royale, ou daurade ou vraie daurade, crue, sauvage	1.5716205
Double cheeseburger, provenant de fast food	1.324717
Dragée amande	0.41065923
Dulse (Palmaria palmata), séchée ou déshydratée	1.2052509
Eau de source Cristaline, embouteillée, non gazeuse	N/A
Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)	N/A
Eau de vie	0.11734932
Eau de vie de vin, type armagnac, cognac	0.11980418
Eau embouteillée de source	N/A
Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)	N/A
Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)	N/A
Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)	N/A
Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)	N/A
Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)	N/A
Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)	N/A
Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)	N/A
Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)	N/A
Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42)	N/A
Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)	N/A
Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)	N/A
Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)	N/A
Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)	N/A
Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)	N/A
Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)	N/A
Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)	N/A
Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)	N/A
Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)	N/A
Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)	N/A
Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)	N/A
Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)	N/A
Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)	N/A
Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)	N/A
Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)	N/A
Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)	N/A
Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)	N/A
Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)	N/A
Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)	N/A
Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)	N/A
Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)	N/A
Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34)	N/A
Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)	N/A
Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie)	N/A
Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)	N/A
Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)	N/A
Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)	N/A
Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)	N/A
Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09)	N/A
Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04)	N/A
Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce)	N/A
Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68)	N/A
Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)	N/A
Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)	N/A
Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)	N/A
Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)	N/A
Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)	N/A
Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)	N/A
Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30)	N/A
Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22)	N/A
Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)	N/A
Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)	N/A
Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)	N/A
Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)	N/A
Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)	N/A
Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)	N/A
Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42)	N/A
Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)	N/A
Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)	N/A
Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)	N/A
Eau minérale Spa-Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique)	N/A
Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42)	N/A
Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59)	N/A
Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)	N/A
Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63)	N/A
Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43)	N/A
Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)	N/A
Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)	N/A
Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63)	N/A
Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74)	N/A
Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19)	N/A
Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07)	N/A
Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique)	N/A
Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand-les-Eaux, 59)	N/A
Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)	N/A
Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07)	N/A
Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)	N/A
Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)	N/A
Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88)	N/A
Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)	N/A
Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63)	N/A
Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68)	N/A
Échalote, crue	0.062021162
Échalote, cuite	0.11717913
Éclair	0.31407646
Edam	0.56890518
Édulcorant à la saccharine	0.13999647
Églefin, cru	1.8946113
Églefin, cuit à la vapeur	2.3421423
Églefin, grillé/poêlé	2.3230255
Emmental ou emmenthal	0.59172631
Emmental ou emmenthal râpé	0.5944717
Empereur, filet, sans peau, cru	1.8946113
Endive au jambon	0.47014608
Endive, crue	0.12101369
Entremets type Opéra	0.45919455
Épaule de porc, cuite, choix, découennée dégraissée	0.9912024
Épaule de porc, cuite, standard, découennée dégraissée	0.9912024
Épeautre, cru	0.14173396
Éperlan, cru	0.24578546
Épinard, appertisé, égoutté	0.08730973
Épinard, cru	0.045898693
Épinard, cuit	0.088158663
Épinard, jeunes pousses pour salades, cru	0.045898693
Épinard, purée	0.081325411
Épinard, surgelé, cru	0.09243126
Épinard, surgelé, cuit	0.1187023
Épinards à la crème	0.21908138
Époisses	0.48161291
Escalope végétale ou steak à base de soja	0.278983
Escargot en sauce au beurre persillé, cuit	0.55710702
Espadon, cru	0.81624389
Espadon, rôti/cuit au four	1.0253931
Estragon, frais	0.11502191
Faisan, viande, rôtie/cuite au four	1.1791729
Faisselle, 6% MG environ	0.49117187
Fajitas	0.35701216
Falafel ou Boulette de pois-chiche et/ou fève, frite	0.14820532
Far aux pruneaux	0.57634369
Farine d'épeautre (grand épeautre)	0.15555368
Farine d'orge	0.13866222
Farine de blé tendre ou froment avec levure incorporée	0.099493496
Farine de blé tendre ou froment T110	0.099482522
Farine de blé tendre ou froment T150	0.099493496
Farine de blé tendre ou froment T45 (pour pâtisserie)	0.099493496
Farine de blé tendre ou froment T55 (pour pains)	0.099493496
Farine de blé tendre ou froment T65	0.099493496
Farine de blé tendre ou froment T80	0.099516052
Farine de châtaigne	0.62324082
Farine de maïs	0.13336976
Farine de millet	0.15142054
Farine de pois chiche	0.13727522
Farine de riz	1.1477282
Farine de sarrasin	0.15555368
Farine de seigle T130	0.10614935
Farine de seigle T170	0.10614935
Farine de seigle T85	0.10614935
Farine de soja	0.17655356
Fenouil, bouilli/cuit à l'eau	0.16971376
Fenouil, cru	0.11352225
Fenouil, graine	0.13067124
Fenugrec, graine	1.423572
Feta de brebis	0.70610338
Feuilleté au poisson et / ou fruits de mer	0.562459
Feuilleté aux escargots	0.3637075
Feuilleté ou Friand à la viande	1.3634616
Feuilleté ou Friand au fromage	0.46692567
Feuilleté ou Friand jambon fromage	0.64996502
Fève à écosser, fraîche	0.12456738
Fève, cuite	0.057515948
Fève, fraîche, surgelée	0.070121659
Fève, pelée, surgelée, crue	0.15393925
Fève, pelée, surgelée, cuite à l'eau	0.070121659
Fève, sèche	0.12456738
Fève, surgelée, cuite à l'eau	0.070121659
Ficelle picarde	1.1537756
Figue de Barbarie, pulpe et graines, crue	0.087983198
Figue, crue	0.21700022
Figue, sèche	0.56742286
Filet de bacon	1.0004274
Flammenkueche ou Tarte flambée aux lardons	0.35951216
Flan aux œufs, rayon frais	0.21892613
Flan de légumes	0.28556968
Flan pâtissier aux oeufs ou à la parisienne	0.23598848
Flétan de l'Atlantique ou flétan blanc, cru	0.81624389
Flétan du Groënland ou flétan noir ou flétan commun, cru	1.8946113
Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur	2.3421423
Fleur de sel, non iodée, non fluorée	0.079425471
Flocon d'avoine	0.26437627
Flocon d'avoine précuit	0.3263477
Flocons d'avoine, bouillis/cuits à l'eau	0.22162237
Florentin (biscuit sec sucré chocolaté aux amandes)	0.35191155
Focaccia, garnie	0.447501
Foie, agneau, cru	2.4575922
Foie, agneau, cuit	3.400235
Foie, canard, cru	N/A
Foie, dinde, cru	0.22153344
Foie, dinde, cuit	0.33525176
Foie, génisse, cru	2.134587
Foie, génisse, cuit	2.9574892
Foie, lapin, cru	0.22153344
Foie, oie, cru	0.22153344
Foie, porc, cru	0.27572801
Foie, porc, cuit	0.40953668
Foie, poulet, cru	0.22153344
Foie, poulet, cuit	0.33525176
Foie, veau, cru	1.7114355
Foie, veau, cuit	2.3774722
Foie, volaille, cru	0.22153344
Fondue de poireau	0.29698505
Fondue savoyarde (fromages, vin, pain)	0.38930574
Fontina	0.49778677
Fougasse, garnie	0.1953279
Fourme d'Ambert	0.52200241
Fourme de Montbrison	0.53166929
Fraise de saison, crue	0.12870451
Fraise hors saison, crue	0.14012844
Fraise, crue	0.13180435
Fraisier ou framboisier	0.30301855
Framboise, crue	0.31515947
Framboise, surgelée, crue	0.38387806
Frik (blé dur immature concassé), cru	0.23102721
Frik (blé dur immature concassé), cuit, non salé	0.10334471
Frites de pommes de terre, surgelées, cuites en friteuse	0.24330323
Frites de pommes de terre, surgelées, pour cuisson en friteuse	0.18976539
Frites de pommes de terre, surgelées, pour cuisson micro-ondes	0.16129338
Frites de pommes de terre, surgelées, pour cuisson rôtie/ au four	0.18883295
Frites de pommes de terre, surgelées, rôties/cuites au four	0.18883295
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG	0.52699783
Fromage à pâte ferme environ 27% MG type Maasdam	0.55796506
Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)	0.51617355
Fromage à pâte molle double crème environ 30% MG	0.50624294
Fromage à pâte molle et croûte fleurie (type camembert)	0.51778082
Fromage à pâte molle et croûte lavée, allégé environ 13% MG	0.49778677
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée	0.49778677
Fromage à pâte molle triple crème environ 40% MG	0.49778677
Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse	0.5944717
Fromage blanc nature, 0% MG	0.16986799
Fromage blanc nature, 3% MG environ	0.19091689
Fromage blanc nature, gourmand, 8% MG environ	0.22564757
Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ	0.17947341
Fromage bleu au lait de vache	0.51016452
Fromage bleu d'Auvergne	0.52174126
Fromage bleu de Bresse	0.51016452
Fromage bleu de Bresse allegé environ 15% MG	0.48571863
Fromage bleu des Causses	0.52330288
Fromage de brebis à pâte molle et croûte fleurie	0.70610338
Fromage de brebis à pâte pressée	0.61044019
Fromage de brebis Corse à pâte molle	1.0686553
Fromage de brebis des Pyrénées	0.67397585
Fromage de chèvre à pâte molle et croûte fleurie type camembert	1.130179
Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé	1.130179
Fromage de chèvre bûche	0.8346853
Fromage de chèvre bûche, allégé en matière grasse	0.9142413
Fromage de chèvre demi-sec	0.88337725
Fromage de chèvre frais, au lait cru (type palet ou crottin frais)	0.75512948
Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)	0.91424148
Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)	0.84605062
Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure)	0.9142413
Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)	0.94833673
Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)	0.9142413
Fromage de chèvre sec	0.84263373
Fromage de tête	0.70189449
Fromage fondu double crème, environ 31% MG	0.49778677
Fromage fondu en portions ou en cubes environ 20% MG	0.49778677
Fromage fondu en tranchettes	0.49778677
Fromage frais type petit suisse, aromatisé aux fruits, 2-3% MG, enrichi en calcium et vitamine D	0.18775956
Fromage frais type petit suisse, aux fruits, 2-3% MG	0.18775956
Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D	0.18775956
Fromage frais type petit suisse, nature, 0% MG	0.16986799
Fromage frais type petit suisse, nature, 10% MG environ	0.23932936
Fromage frais type petit suisse, nature, 4% MG environ	0.19723156
Fromage pané au jambon	0.54544882
Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse	0.47513703
Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse	0.47969073
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse	0.48224978
Fromage type feta, au lait de vache	0.49096902
Fromage type feta, au lait de vache, à l'huile et aux aromates	0.49096902
Fructose	0.20678335
Fruit à pain, cru	0.17396972
Fruit de la passion ou maracudja, pulpe et pépins, cru	0.11239798
Fruits rouges, crus (framboises, fraises, groseilles, cassis)	0.31515947
Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté	1.2052509
Galette de céréales aux légumes (sans soja), préemballé	0.21326346
Galette de riz soufflé complet	0.39645769
Galette de sarrasin, nature, préemballée	0.11547949
Galette des rois feuilletée	0.48347055
Galette des rois feuilletée, fourrée frangipane, et Pithiviers	0.48347055
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé	0.27803391
Galette ou pavé au soja et légumes, préemballé	0.29036418
Galettes multicéréales soufflées	0.39645769
Gâteau au chocolat	0.60473742
Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises)	0.48717584
Gâteau au chocolat, cœur fondant, rayon frais	0.64465417
Gâteau au citron, tout type	0.26742576
Gâteau au fromage blanc	0.30030019
Gâteau au yaourt	0.30030019
Gâteau aux amandes type financier	0.53440812
Gâteau basque, cerises	0.2570692
Gâteau basque, crème pâtissière	0.2570692
Gâteau de riz au caramel, rayon frais	0.26187562
Gâteau de riz, appertisé	0.27857693
Gâteau de semoule aux raisins et caramel, rayon frais	0.16632864
Gâteau de semoule, appertisé	0.1851489
Gâteau marbré	0.38690981
Gâteau moelleux au chocolat, préemballé	0.60974789
Gâteau moelleux aux fruits	0.31700738
Gâteau moelleux aux fruits à coque	0.51001232
Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait	0.60974789
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré	0.31700738
Gâteau moelleux nature type génoise	0.34474346
Gâteau mousse de fruits sur génoise, type miroir, bavarois	0.31700738
Gâteau Paris-Brest (pâte à choux crème mousseline praliné)	0.31965128
Gâteau sablé aux fruits, préemballé	0.31983308
Gaufre croustillante (fine ou sèche), chocolatée, préemballée	0.35943027
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée	0.2951179
Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée	0.41112328
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée	0.30570613
Gaufrette fourrée chocolat, préemballée	0.52417041
Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée	0.49427158
Gaufrette fourrée, aux fruits	0.31231436
Gaufrette ou éventail sans fourrage	0.35191155
Gaufrette, fourrée vanille, préemballée	0.35191155
Gélatine, sèche	0.25011989
Génoise fourrée et nappée au chocolat	0.60974789
Génoise sèche fourrée aux fruits et nappée de chocolat	0.30948866
Gésier, poulet, cru	0.22153344
Gin	0.11980418
Gingembre, poudre	0.13161189
Gingembre, racine crue	0.076883073
Glace à l'eau	0.16715064
Glace au yaourt	0.22353537
Glace ou crème glacée, bâtonnet, enrobé de chocolat	0.22353537
Glace ou crème glacée, cône (taille standard)	0.22353537
Glace ou crème glacée, en bac	0.22353537
Glace ou crème glacée, gourmande, en bac	0.22353537
Glace ou crème glacée, gourmande, en pot	0.22353537
Glace ou crème glacée, mini cône	0.22353537
